Source,Nom,Secteur,Ville,Téléphone,Email,Note Google,Nb Avis,Points Forts,Problème,Accroche,Site web,Adresse,URL Maps,Gamme Prix,Services,Editorial,Citation Neg
France,Paristanbul,Kebab,Paris,07 82 37 03 41,,4.6,603,"qualite, accueil, chaleureux",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"154 Rue du Chemin Vert, 75011 Paris, France",https://maps.google.com/?cid=15089367271399021933,,"livraison, a emporter, sur place, dejeuner",,
France,Paris Antalya,Kebab,Paris,06 50 50 20 96,,4.5,184,"accueil, sympathique, top",les clients ne peuvent pas voir vos realisations avant de vous choisir,"Un de vos clients sur Google signale que c'est les clients ne peuvent pas voir vos realisations avant de vous choisir. Un d'eux a meme ecrit : ""On croirait avoir en bouche des chips type Pringles"" C'est frustrant, ce qui vous fait perdre des clients face a des concurrents mieux visibles. La solution : une galerie photo de vos meilleurs travaux.",NON,"24 Rue Saint-Séverin, 75005 Paris, France",https://maps.google.com/?cid=10155300356443210948,,"a emporter, sur place, dejeuner, diner",,"La viande est délicieuse, les serveurs sont sympas et accueillants, le pain pyta est bon.
Mais changez moi vos frites! Surgelées, de mauvaises qualité, on croirait des frites reconstituées !! Où est p | Pris 2 kebabs différents avec frites et malgré les promesses du vendeur (peut être patron), on était très loin du meilleur kébab de Paris car il ni le pain ni la viande et encore moins les frites n'ét"
France,Su Pâtisserie Paris,Boulangerie,Paris,06 14 88 44 44,,4.5,248,"accueil, qualite, delicieux",l'organisation des rendez-vous cree de l'attente,"Un de vos clients sur Google signale que c'est l'organisation des rendez-vous cree de l'attente. Un d'eux a meme ecrit : ""Cela faisait longtemps que j'avais envie de goûter leurs pâtisseries, j'aime beaucoup les pâtisseries japonaises"" C'est frustrant, ce qui frustre vos clients fideles. La solution : un systeme de reservation en ligne qui evite les embouteillages.",NON,"15 Rue Volta, 75003 Paris, France",https://maps.google.com/?cid=17686584623242213935,,"livraison, a emporter, sur place, petit-dej, click&collect",,"Cela faisait longtemps que j'avais envie de goûter leurs pâtisseries, j'aime beaucoup les pâtisseries japonaises.
Honnêtement, j'ai été un peu déçue en goûtant le gâteau aux fraises, qui était gros ma | J’ai demandé un modèle de Gateau précis on m’a dit que oui oui c’était réalisable je vous montre ce que j’ai eu . Ce n’est même pas symétrique la couleur n’est pas pareil ya un chiffre plus gros que l"
France,Nail Art - Onglerie Paris 15,Nail Art,Paris,06 58 47 04 13,,4.4,76,"professionnel, rapide, propre",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"3 Rue de l'Abbé Groult, 75015 Paris, France",https://maps.google.com/?cid=15521503582270463760,,,,"Le résultat des ongles est excellent. Vraiment rien à dire. La nail tech Sylvie est adorable, par contre l’accueil et service client par la nail tech Zoe est terrible. Dès qu’on pose une question ou d"
France,Tuxia Menuiserie,Menuisier,Paris,06 62 17 55 07,,4.1,24,"professionnel, qualite, excellent",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"18 Rue Coypel, 75013 Paris, France",https://maps.google.com/?cid=7408044196349494260,,,,
France,Garage Five,Garage,Paris,07 56 95 00 75,,3.8,10,"rapide, efficace, qualite",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"52 Rue Petit, 75019 Paris, France",https://maps.google.com/?cid=14347562015245842949,,PMR,,"Je déconseille fortement, raccroche au nez avant même que je termine ma phrase"
France,Garage Claude Porte Doree.,Garage,Paris,07 80 99 32 94,,4.4,83,"accueil, honnete, sympathique",les clients ne trouvent pas vos tarifs avant de vous contacter,"Un de vos clients sur Google signale que c'est les clients ne trouvent pas vos tarifs avant de vous contacter. Un d'eux a meme ecrit : ""Un garage qui propose des prix plus qu’excessifs et qui invente des problèmes a ma voiture"" C'est frustrant, ce qui fait fuir ceux qui veulent juste une idee du budget. La solution : une page tarifs claire qui pre-qualifie vos clients.",NON,"4 Rue de l'Essai, 75005 Paris, France",https://maps.google.com/?cid=5882008457167517205,,PMR,,Un garage qui propose des prix plus qu’excessifs et qui invente des problèmes a ma voiture. Sûrement car je suis une femme. Passez votre chemin
France,L'Arc Épicerie - 7J7,Epicerie,Paris,06 37 96 29 18,,4.2,70,"excellent, accueil, qualite",vos horaires sont introuvables ou incorrects en ligne,"2 de vos clients sur Google se plaignent du meme probleme : vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""Attention, ne vous fier pas au horaires de nuit"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"2 Rue des Acacias, 75017 Paris, France",https://maps.google.com/?cid=7804498305198402828,,"livraison, a emporter, PMR",,"Attention, ne vous fier pas au horaires de nuit... il est toujours fermé ! Il ne met pas a jour ses horaires, ou il ferme et part plus tôt.  Car moi j'ai lu 17-6h. Je me suis déplacé a 3h,et je me ret | Je me suis rendu à votre épicerie hier soir et c'était fermé. Inadmissible, sachant qu'il était 4h du matin et qu'il est écrit qu'elle ferme a 6h. J'ai fait 2h de trajets pour me rendre à la seule épi"
France,Diderot Supérette,Epicerie,Paris,06 25 35 57 57,,3.6,21,"accueil, sympathique, gentil",vos nouveaux clients ont du mal a vous trouver,"Un de vos clients sur Google signale que c'est vos nouveaux clients ont du mal a vous trouver. Un d'eux a meme ecrit : ""Ils l'ont cherché 20 minutes puis nous ont dit de faire une réclamation à Chronopost"" C'est frustrant, meme quand ils cherchent exactement ce que vous proposez. La solution : un site optimise pour apparaitre sur Google quand on cherche votre activite.",NON,"78 Bd Diderot, 75012 Paris, France",https://maps.google.com/?cid=1451099884459524318,,,,"Ils ont perdu le colis qui avait été livré chez eux. Ils l'ont cherché 20 minutes puis nous ont dit de faire une réclamation à Chronopost. Tout ça, avec un ton hyper désagréable. À fuir. | C’est une catastrophe, nous avons plusieurs fois essayé de faire livrer nos colis ici, ils les ont À CHAQUE FOIS refusés (même pour des tous petits colis). Ne prenez surtout pas ce point relais."
France,Épicerie / Supermarché / Marché Malar /Alimentation Générale / Grocery shop / luggage storage paris / bagage,Epicerie,Paris,07 53 80 93 06,,3.0,17,"top, accueil, gentil",vos horaires sont introuvables ou incorrects en ligne,"Un de vos clients sur Google signale que c'est vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""Ouverts tard le soir, c’est clairement pratique quand tout le reste est fermé, surtout un soir comme la fête de la musique"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"2 ter Rue Malar, 75007 Paris, France",https://maps.google.com/?cid=9547254188474252971,,"livraison, click&collect",,"Ouverts tard le soir, c’est clairement pratique quand tout le reste est fermé, surtout un soir comme la fête de la musique.
Les prix restent quand même assez élevés, et il y avait pas mal de monde.
Ma | 11,90euros le pack de 6 heineken.. rien à dire"
