Entreprise,Secteur,Département,Ville,Adresse,Email,Téléphone,Lien Google Maps,Note Google,Nombre Avis,Potentiel Budget,Site Web,Nb Avis +,Nb Avis -,Thèmes Positifs,Thèmes Négatifs,Résumé Avis +,Résumé Avis -,Description GMB,Note Prospection
Malo’Cation Conciergerie,Administrateur de biens,59,Dunkerque,"8 Digue de Mer, 59240 Dunkerque, France",NON TROUVÉ,07 81 85 98 87,📍 Voir sur Maps,4.9,195,ÉLEVÉ,AUCUN,5,0,"excellent, parfait, recommande, écoute",—,"Excellent séjour dans cette maison idéalement située en front de mer. Le logement est tout simplement magnifique, décoré avec goût et parfaitement équipé. Les prestations sont vraiment haut de gamme : literie très confor…",,,"Malo’Cation Conciergerie : 195 avis Google | ✅ Force : excellent, parfait, recommande, écoute | 🔥 0 site web → perd des mandats chaque jour"
LA FELICITA sarl,Agence immobilière,25,Besançon,"Boucle et centre ville, 6 Rue Victor Hugo, 25000 Besançon, France",NON TROUVÉ,06 98 21 00 77,📍 Voir sur Maps,5.0,116,ÉLEVÉ,AUCUN,5,0,"recommande, qualité, réactif",—,"Notre séjour à la Félicita était un moment hors du temps ! Sabrina est une femme exceptionnelle, adorable et aux petits soins. Elle aime réellement les gens et ceci se ressent dès les premiers échanges par SMS et se conf…",,,"LA FELICITA sarl : 116 avis Google | ✅ Force : recommande, qualité, réactif | 🔥 0 site web → perd des mandats chaque jour"
,Agence immobilière,73,Chambéry,"Av. de Chambéry, 73000 Bassens, France",NON TROUVÉ,06 60 35 03 85,📍 Voir sur Maps,5.0,110,ÉLEVÉ,AUCUN,5,0,"professionnel, disponible, recommande, écoute",—,"Etant chasseuse immobilier, Je suis très contente d'avoir collaboré avec Laura sur la vente d'une maison à Saint-Jean d'Arvey. Nous avons réussi à gérer un dossier pas si simple mais l'Union a fait la force, un vrai trav…",,,"Laura Achard Immobilier : 110 avis Google | ✅ Force : professionnel, disponible, recommande, écoute | 🔥 0 site web → perd des mandats chaque jour"
TNL Provence Immobilier Marseille,Agence immobilière,13,Marseille,"34 Rue Alphonse Daudet, 13013 Marseille, France",NON TROUVÉ,06 49 09 36 83,📍 Voir sur Maps,5.0,104,ÉLEVÉ,AUCUN,5,0,"professionnel, écoute, disponible, recommande",—,"D’immenses remerciements à Nadia! Une grande professionnelle, humaine, à l’écoute, et très réactive. J’ai apprécié nos échanges. Si vous recherchez la perle de l’immobilier vous avez trouvé la bonne personne n’hésitez pa…",,,"TNL Provence Immobilier Marseille : 104 avis Google | ✅ Force : professionnel, écoute, disponible, recommande | 🔥 0 site web → perd des mandats chaque jour"
Géraldine Roger Allier SAFTI,Mandataire immobilier,33,Bordeaux,"14 Pl. Frédéric Ozanam, 33200 Bordeaux, France",NON TROUVÉ,06 17 04 46 93,📍 Voir sur Maps,4.8,84,ÉLEVÉ,AUCUN,5,0,"professionnel, rapide, efficace, recommande",—,"Nous avons trouvé notre appartement 'coup de coeur' grâce à Géraldine ROGER. Elle a immédiatement compris notre besoin dès notre premier rendez-vous en agence, et nous a accompagné de manière très professionnelle et réac…",,,"Géraldine Roger Allier SAFTI : 84 avis Google | ✅ Force : professionnel, rapide, efficace, recommande | 🔥 0 site web → perd des mandats chaque jour"
Cabinet AD VALOREM - Charles-Henri VERGEAU - Conseil en gestion de patrimoine,Gestionnaire de biens,13,Marseille,"180 Av. du Prado, 13008 Marseille, France",NON TROUVÉ,07 88 39 81 11,📍 Voir sur Maps,5.0,83,ÉLEVÉ,AUCUN,5,0,"excellent, parfait, écoute, professionnel",—,"Charles-Henri est très à l'écoute, calme et pédagogique. Nous avons vécu une excellente expérience avec lui. Ses conseils sont pertinents et conviendront parfaitement à qui souhaite structurer son épargne et réaliser ses…",,,"Cabinet AD VALOREM - Charles-Henri VERGEAU - Conseil en gestion de patrimoine : 83 avis Google | ✅ Force : excellent, parfait, écoute, professionnel | 🔥 0 site web → perd des mandats chaque jour"
Guillaume Lombardet - VestaMB,Agent immobilier,21,Dijon,"84 Rue du Faubourg Saint-Martin, 21121 Fontaine-lès-Dijon, France",NON TROUVÉ,07 55 25 34 49,📍 Voir sur Maps,4.9,76,ÉLEVÉ,AUCUN,5,0,"disponible, excellent, recommande, écoute",—,"J’ai eu la chance d’être accompagnée par Guillaume pour l’achat de mon tout premier appartement, et je ne pourrais pas être plus reconnaissante. Il a su écouter mon projet, me donner d’excellents conseils et m’orienter a…",,,"Guillaume Lombardet - VestaMB : 76 avis Google | ✅ Force : disponible, excellent, recommande, écoute | 🔥 0 site web → perd des mandats chaque jour"
RESIDEO IMMOBILIER - ROND POINT DE RENNES - SCHUMAN,Mandataire immobilier,44,Nantes,"106 Bd Robert Schuman, 44300 Nantes, France",NON TROUVÉ,06 65 27 74 47,📍 Voir sur Maps,4.6,75,ÉLEVÉ,AUCUN,4,1,"rapide, sérieux, parfait, recommande",problème,"Bonjour, Nous avons du nous séparer d'un bien assez rapidement pour pouvoir financer des travaux, ce bien avait la particularité d'avoir en place une locataire d'un certain âge, la vente de cette maison n'était pas gagné…","J’ai acheté une maison avec cet agent, M. Mickael Marchand (le directeur), et mon expérience a été catastrophique. Il ne m’a pas bien conseillé sur le fait qu’une partie de la cuisine n’était pas intégrée dans le mur. Lo…",,"RESIDEO IMMOBILIER - ROND POINT DE RENNES - SCHUMAN : 75 avis Google | ✅ Force : rapide, sérieux, parfait, recommande | ⚠️ Plaintes : problème → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
DE BAZELAIRE IMMOBILIER,Agence immobilière,84,Avignon,"2 Av. du Blanchissage, 84000 Avignon, France",NON TROUVÉ,06 74 36 24 77,📍 Voir sur Maps,4.9,72,ÉLEVÉ,AUCUN,5,0,"rapide, professionnel, sérieux, service",—,"Une vente menée d'une main de maître. Un grand merci à M. De Bazelaire qui a été très professionnel, tant pour la vente de mon appartement qui a été rapide, mais aussi dans le suivi et son accompagnement jusqu'à la signa…",,,"DE BAZELAIRE IMMOBILIER : 72 avis Google | ✅ Force : rapide, professionnel, sérieux, service | 🔥 0 site web → perd des mandats chaque jour"
AF PATRIMONIUM : Courtier en prêts immobiliers & assurances de prêts / Gestion de patrimoine,Administrateur de biens,25,Besançon,"9 Rue de la Mouillère, 25000 Besançon, France",NON TROUVÉ,06 19 02 42 47,📍 Voir sur Maps,5.0,64,ÉLEVÉ,AUCUN,5,0,"disponible, réactif, excellent, confiance",—,"Excellente expérience avec Arnaud Faivre. Il nous a accompagnés dans le cadre de notre projet immobilier en région parisienne avec un grand professionnalisme. Arnaud a été à l’écoute, disponible et très réactif. Il est a…",,,"AF PATRIMONIUM : Courtier en prêts immobiliers & assurances de prêts / Gestion de patrimoine : 64 avis Google | ✅ Force : disponible, réactif, excellent, confiance | 🔥 0 site web → perd des mandats chaque jour"
Cyprien Molamma - Chasseur immobilier,Mandataire immobilier,69,Lyon,"6 Rue Saint-Lazare, 69007 Lyon, France",NON TROUVÉ,06 69 65 89 57,📍 Voir sur Maps,5.0,63,ÉLEVÉ,AUCUN,5,0,"disponible, réactif, écoute, service",—,"Cyprien m´a accompagné tout au long de mon projet : recherche d´annonces, qualification des biens trouvés, visites, négociation (j´ai réussi à avoir une bonne ristourne sur le bien trouvé alors qu´il y avait un autre ach…",,,"Cyprien Molamma - Chasseur immobilier : 63 avis Google | ✅ Force : disponible, réactif, écoute, service | 🔥 0 site web → perd des mandats chaque jour"
